name,nickname,gender,age,looks,hobbies,character,talents,export,belongings,affiliation,lineage,title,spells
Harry,The boy who lived,male,age 11,"Very thin, black hair, emerald green eyes, wearing glasses, knife injury with lightning shape at the forehead",None,None,None,None,"Wand, owl",None,Mixed wizard,The boy who lived,
James Potter,None,male,Adult,None,None,None,None,None,None,None,Pure blood wizard,None,
Lily Potter,None,Female,Adult,None,None,None,None,None,None,None,Mixed wizard,None,
Petunia,None,Female,Adult,"Slender, blond hair, long neck",None,"Message, gossip",None,None,None,None,Maculogy,None,
Vernon Dursley,None,male,Adult,"Very fat, tall and burly, accumulating beard",None,mean,None,None,car,Grandine Company,Maculogy,Company supervisor,
Dudley,None,male,child,"Obesity, blue eyes",None,"Selfish, no rules",None,None,None,None,Maculogy,None,
Dumbledore,None,male,Age,"He is thin, with very long silver hair and silver beard.Wear half moon -shaped glasses, the nose is very long",None,None,None,None,Lamp,Hogwarts,Mixed wizard,Hogwau's current president,
McGonagall,None,Female,Adult,"A serious look, square lenses,",None,None,None,None,None,Hogwarts,Pure blood wizard,Vice President of Hogvy,
Snape,None,male,Adult,None,None,None,None,None,None,Hogwarts,Mixed wizard,None,
Hagrid,None,male,Adult,"Surprisingly tall, full of beards",None,None,None,None,None,Hogwarts,Mixed wizard,Key Guardian and Hunting Ground Guard,
Ron,None,male,age 11,Red hair,None,None,None,None,Gray mouse,Hogwarts,Pure blood wizard,None,
Charlie,None,male,Adult,None,None,None,None,None,None,None,Pure blood wizard,None,
 Dean,None,male,None,None,None,None,None,None,None,Hogwarts,None,None,
Wood,None,male,None,None,None,None,None,None,None,Hogwarts,None,None,
Lee Jordan,None,male,None,None,None,None,None,None,None,Hogwarts,None,None,
Goyle,None,male,None,None,None,None,None,None,None,Hogwarts,None,None,
Crabbe,None,male,None,None,None,None,None,None,None,Hogwarts,None,None,
Flint,None,male,None,None,None,None,None,None,None,Hogwarts,None,None,
Angelina Johnson,None,None,None,None,None,None,None,None,None,Hogwarts,None,None,
George,None,male,None,None,None,None,None,None,None,Hogvy,Pure blood wizard,None,
Fred,None,male,None,None,None,None,None,None,None,Hogvy,Pure blood wizard,None,
Hermione,None,Female,age 11,None,None,None,None,None,None,Hogvy,Mixed wizard,None,
Neville,None,male,age 11,Round face,None,None,None,None,toad,Hogvy,Pure blood wizard,None,
Malfoy,None,male,age 11,Pale,None,None,None,None,None,Hogvy,Pure blood wizard,None,
Voldemort,None,male,Adult,None,None,None,None,None,None,None,Mixed wizard,None,
Quirrel,None,male,Adult,None,None,None,None,None,None,Hogvy,None,Professor of Black Magic Defense Class,
Professor Huo Qi,None,male,Adult,None,None,None,None,None,None,Hogvy,None,None,
 Filch ,None,male,Adult,None,None,None,None,None,None,Hogvy,None,None,
  Sprout ,None,male,Adult,None,None,None,None,None,None,Hogvy,None,None,
Madam Pince,None,male,Adult,None,None,None,None,None,None,Hogvy,None,None,
 Madam Pomfrey ,None,male,Adult,None,None,None,None,None,None,Hogvy,None,None,
  Flitwick ,None,Female,Adult,None,None,None,None,None,None,Hogvy,None,None,
