name,friend,classmate,teacher,family,immediate family,lover,opponent,colleague,teammate,enemy,"Harry's affection to him (-10 to 10, 0 is the initial value)","Harry's familiarity with him (0 to 10, 0 is the initial value)","His affection to Harry (0 to 10, 0 is the initial value)","His familiarity with Harry (0 to 10, 0 is the initial value)"
James Potter,0,0,0,1,1,0,0,0,0,0,10,0,10,0
Lily Potter,0,0,0,1,1,0,0,0,0,0,10,0,10,0
Petunia,0,0,0,1,0,0,0,0,0,0,-5,8,-5,6
Vernon Dursley,0,0,0,1,0,0,0,0,0,0,-5,8,-5,6
Dudley,0,0,0,1,0,0,0,0,0,0,-4,8,-4,6
Dumbledore,0,0,1,0,0,0,0,0,0,0,4,4,4,4
McGonagall,0,0,1,0,0,0,0,0,0,0,4,2,6,4
Snape,0,0,1,0,0,0,0,0,0,0,-8,2,-4,4
Hagrid,1,0,0,0,0,0,0,0,0,0,5,4,4,6
Ron,1,1,0,0,0,0,0,0,0,0,6,7,6,7
Charlie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dean,1,1,0,0,0,0,0,0,0,0,4,4,4,4
Wood,1,1,0,0,0,0,0,0,1,0,3,4,3,4
Lee Jordan,1,1,0,0,0,0,0,0,1,0,3,4,3,4
Goyle,0,1,0,0,0,0,0,0,0,0,-4,2,-4,2
Crabbe,0,1,0,0,0,0,0,0,0,0,-4,2,-4,2
Flint,0,1,0,0,0,0,1,0,0,0,0,2,-2,2
Angelina Johnson,1,1,0,0,0,0,0,0,1,0,3,4,3,4
George,1,1,0,0,0,0,0,0,1,0,2,2,4,2
Fred,1,1,0,0,0,0,0,0,1,0,2,2,4,2
Hermione,1,1,0,0,0,0,0,0,0,0,6,4,6,4
Neville,1,1,0,0,0,0,0,0,0,0,5,5,5,5
Malfoy,0,1,0,0,0,0,1,0,0,0,-6,2,-6,2
Voldemort,0,0,0,0,0,0,0,0,0,1,-10,2,-10,4
Quirrel,0,0,1,0,0,0,0,0,0,0,4,1,4,2
Professor Huo Qi,0,0,1,0,0,0,0,0,0,0,2,2,2,2
 Filch ,0,0,1,1,0,0,0,0,0,0,-4,2,-3,2
  Sprout ,0,0,1,0,0,0,0,0,0,0,2,2,2,2
Madam Pince,0,0,1,0,0,0,0,0,0,0,0,2,0,2
 Madam Pomfrey ,0,0,1,0,0,0,0,0,0,0,2,2,2,2
  Flitwick ,0,0,1,0,0,0,0,0,0,0,2,2,4,2
